,Shareholders_Funds,Secured_Loans,Debt___Loan_Funds,Liabilities,Sundry_Debtors,Inventories,Cash_and_Bank_Balance,Current_Assets,Current_Liabilities,Sales_Turnover___Operating_Incom,Net_Sales,Income,Operating_Profit,Rating
0,8443.04,0.0,35.5,8598.4,484.35,1188.6,91.6,2169.5,3773.26,13240.71,11796.83,11916.13,1503.35,0
1,8235.61,0.0,0.0,8351.55,410.71,1255.59,304.3,2369.06,3784.21,13108.18,11738.21,12017.77,1775.54,0
2,7824.84,32.0,35.03,7966.01,397.22,1121.47,503.38,2400.93,3620.31,12471.74,11149.61,11428.75,1914.46,0
3,7382.8,157.0,163.06,8019.31,303.45,1133.55,678.38,2467.47,3390.0,12639.44,11357.96,11602.76,2125.02,0
4,7192.27,500.0,510.73,8198.32,187.74,1099.54,1652.56,3287.16,3272.61,10700.02,9660.29,9946.59,2112.63,0
5,6469.49,509.93,523.82,6993.31,178.28,914.98,980.03,2753.35,3746.42,8563.71,7717.33,8130.84,1910.91,0
6,120.47,0.0,0.0,121.62,26.18,7.91,47.95,94.66,25.19,193.2,184.38,189.77,37.29,0
7,104.84,0.0,0.0,105.84,26.34,7.21,37.59,78.55,22.99,171.41,163.32,167.97,29.36,0
8,96.92,5.5,5.5,103.43,23.87,6.66,34.71,73.06,18.74,145.72,138.83,141.74,26.16,0
9,87.87,12.58,12.64,101.42,27.43,6.97,14.78,57.63,22.65,142.09,135.06,138.75,23.51,0
10,80.87,21.79,21.79,103.3,13.08,9.31,15.06,46.6,18.22,140.38,134.96,139.75,24.84,0
11,102.92,22.79,26.63,129.97,11.63,8.54,19.87,50.06,19.26,107.75,103.38,108.69,18.15,0
12,97.41,1.26,1.26,98.67,10.23,7.31,24.04,50.77,17.51,93.75,89.77,99.62,20.43,0
13,126.96,43.2,56.88,192.32,23.56,29.88,3.46,60.76,38.84,200.68,179.64,170.3,27.88,0
14,124.26,69.94,87.14,219.88,24.38,47.62,2.11,78.72,40.19,179.19,162.73,170.58,22.38,0
15,123.46,54.92,68.86,198.56,22.07,31.79,1.16,58.31,31.93,157.29,140.99,138.48,20.92,0
16,121.53,47.99,67.8,192.3,20.01,41.29,1.09,67.36,33.84,166.73,149.47,150.98,19.52,0
17,119.61,39.88,50.81,172.8,23.82,43.75,1.33,71.89,31.46,193.4,176.91,197.76,30.28,0
18,110.97,19.02,25.4,139.83,49.56,21.91,2.85,80.72,36.14,223.64,203.37,191.92,46.77,0
19,90.76,4.57,4.57,95.33,36.27,31.91,2.49,76.78,34.6,173.86,160.53,166.1,35.94,0
20,3996.4,353.02,694.53,4705.55,292.76,1022.9,289.38,2228.76,1718.79,9704.61,8701.64,8628.66,1617.84,0
